"filename", "language", "C", "C++", "YAML", "comment", "blank", "total"
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/icon_ice.h", "C++", 0, 14, 0, 0, 5, 19
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/icon_ices.c", "C", 12, 0, 0, 0, 1, 13
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/icon_ices.h", "C++", 0, 14, 0, 0, 5, 19
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/palette.c", "C", 67, 0, 0, 0, 1, 68
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/palette.h", "C++", 0, 11, 0, 0, 5, 16
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/settings_colors.c", "C", 12, 0, 0, 0, 1, 13
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/settings_colors.h", "C++", 0, 14, 0, 0, 5, 19
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/settings_desktop.c", "C", 12, 0, 0, 0, 1, 13
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/settings_desktop.h", "C++", 0, 14, 0, 0, 5, 19
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/settings_reset.c", "C", 12, 0, 0, 0, 1, 13
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/settings_reset.h", "C++", 0, 14, 0, 0, 5, 19
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/settings_shell.c", "C", 12, 0, 0, 0, 1, 13
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/settings_shell.h", "C++", 0, 14, 0, 0, 5, 19
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/settings_system.c", "C", 12, 0, 0, 0, 1, 13
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/settings_system.h", "C++", 0, 14, 0, 0, 5, 19
